Order ID,Order Date,Customer ID,Product,Category,Sub-Category,Region,City,Quantity,Sales,Profit,Discount
ORD00001,2024-08-09,CUST7248,Phone,Technology,Phone,North,Delhi,8,29126.4,6525.4,20
ORD00002,2023-06-03,CUST1562,Keyboard,Technology,Keyboard,East,Patna,8,15696.0,946.07,0
ORD00003,2023-06-14,CUST5132,Keyboard,Technology,Keyboard,West,Pune,2,7204.5,666.37,25
ORD00004,2023-08-20,CUST2170,Phone,Technology,Phone,South,Hyderabad,10,31455.0,1905.92,10
ORD00005,2023-08-07,CUST5887,Desk,Furniture,Desk,South,Chennai,3,803.25,109.78,25
ORD00006,2024-04-13,CUST4217,Laptop,Technology,Laptop,East,Kolkata,7,10221.75,1716.7,25
ORD00007,2024-08-17,CUST1785,Monitor,Technology,Monitor,East,Kolkata,5,9135.0,1019.95,0
ORD00008,2023-08-02,CUST1386,Desk,Furniture,Desk,South,Bangalore,3,7668.0,1891.71,10
ORD00009,2023-02-27,CUST4214,Keyboard,Technology,Keyboard,South,Chennai,7,18195.1,3868.29,15
ORD00010,2023-09-16,CUST5760,Monitor,Technology,Monitor,West,Pune,5,11191.0,3705.02,5
ORD00011,2023-09-27,CUST4648,Pen,Office Supplies,Pen,West,Ahmedabad,2,1267.2,302.3,20
ORD00012,2024-12-04,CUST8227,Keyboard,Technology,Keyboard,South,Bangalore,8,1137.6,62.39,10
ORD00013,2023-04-07,CUST1684,Notebook,Office Supplies,Notebook,South,Hyderabad,10,18662.0,1906.34,30
ORD00014,2024-04-05,CUST3971,Sofa,Furniture,Sofa,North,Delhi,4,6445.6,1860.39,30
ORD00015,2024-11-13,CUST3478,Monitor,Technology,Monitor,East,Patna,4,4416.0,1432.18,25
ORD00016,2024-12-30,CUST3132,Table,Furniture,Table,North,Chandigarh,7,22610.0,6728.51,0
ORD00017,2024-07-01,CUST4905,Monitor,Technology,Monitor,East,Bhubaneswar,10,16128.0,1777.97,30
ORD00018,2024-03-01,CUST9859,Notebook,Office Supplies,Notebook,South,Chennai,2,636.0,181.75,25
ORD00019,2024-02-04,CUST2249,Bookcase,Furniture,Bookcase,East,Kolkata,6,23742.0,2674.07,0
ORD00020,2023-11-07,CUST7689,Desk,Furniture,Desk,East,Kolkata,10,6817.0,1278.6,15
ORD00021,2024-10-22,CUST5312,Desk,Furniture,Desk,East,Kolkata,9,37799.55,12426.29,5
ORD00022,2023-10-20,CUST3236,Printer,Technology,Printer,East,Kolkata,1,1725.5,537.23,15
ORD00023,2024-06-11,CUST5728,Desk,Furniture,Desk,West,Pune,6,26718.0,6842.41,0
ORD00024,2024-08-10,CUST3337,Sofa,Furniture,Sofa,South,Bangalore,3,10225.5,1118.38,15
ORD00025,2023-07-05,CUST4252,Printer,Technology,Printer,North,Lucknow,2,4836.8,1272.0,20
ORD00026,2023-05-17,CUST4095,Monitor,Technology,Monitor,West,Ahmedabad,5,8317.25,1412.78,5
ORD00027,2023-05-23,CUST9042,Desk,Furniture,Desk,West,Pune,4,7153.6,1118.79,15
ORD00028,2023-08-29,CUST5928,Printer,Technology,Printer,East,Patna,9,41809.5,6230.58,5
ORD00029,2023-12-04,CUST5456,Binder,Office Supplies,Binder,North,Lucknow,8,2922.0,731.17,25
ORD00030,2024-03-16,CUST7914,Table,Furniture,Table,South,Bangalore,10,26214.0,7443.21,15
ORD00031,2023-08-13,CUST5937,Printer,Technology,Printer,East,Kolkata,2,5095.8,1480.18,10
ORD00032,2023-06-03,CUST5720,Laptop,Technology,Laptop,North,Chandigarh,8,15618.0,1009.12,5
ORD00033,2024-01-17,CUST9143,Binder,Office Supplies,Binder,North,Lucknow,9,32327.1,5027.39,10
ORD00034,2024-01-24,CUST3564,Stapler,Office Supplies,Stapler,East,Bhubaneswar,5,10718.5,3168.35,15
ORD00035,2024-06-20,CUST9401,Desk,Furniture,Desk,South,Chennai,9,5220.0,883.88,0
ORD00036,2024-07-06,CUST9401,Stapler,Office Supplies,Stapler,North,Lucknow,1,3778.0,661.85,0
